Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Chrome 97.0.4692.71,,,2022-01-16 00:40:30,2022-01-16 00:41:25,55.176s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Chrome 97.0.4692.71,,,2022-01-16 00:40:30,2022-01-16 00:41:25,54.739s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-16 00:40:31,2022-01-16 00:40:57,25.700s,PASSED
PrimaryHeaderHelpers.topNav(),Chrome 97.0.4692.71,,,2022-01-16 00:40:57,2022-01-16 00:41:03,6.684s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Chrome 97.0.4692.71,,,2022-01-16 00:41:03,2022-01-16 00:41:07,3.915s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Chrome 97.0.4692.71,,,2022-01-16 00:41:07,2022-01-16 00:41:10,2.536s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Chrome 97.0.4692.71,,,2022-01-16 00:41:10,2022-01-16 00:41:12,1.854s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Chrome 97.0.4692.71,,,2022-01-16 00:41:12,2022-01-16 00:41:16,4.588s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Chrome 97.0.4692.71,,,2022-01-16 00:41:16,2022-01-16 00:41:17,1.152s,PASSED
PrimaryHeaderHelpers.customerService(),Chrome 97.0.4692.71,,,2022-01-16 00:41:17,2022-01-16 00:41:21,3.379s,PASSED
PrimaryHeaderHelpers.customerServiceLinkAction(),Chrome 97.0.4692.71,,,2022-01-16 00:41:21,2022-01-16 00:41:22,0.993s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 00:41:22,2022-01-16 00:41:22,0.278s,PASSED
Video,Chrome 97.0.4692.71,,,2022-01-16 00:41:25,2022-01-16 00:41:25,0.008s,PASSED
