Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Footer,Firefox 95.0,,,2022-01-17 13:06:51,2022-01-17 13:07:56,1m - 5.385s,PASSED
,,,,,,,
Test Cases/Footer/Footer TC,Firefox 95.0,,,2022-01-17 13:06:51,2022-01-17 13:07:56,1m - 4.984s,PASSED
GeneralHelpers.initScenario(),Firefox 95.0,,,2022-01-17 13:06:52,2022-01-17 13:07:08,15.946s,PASSED
defaultFooterValidatins.verifyExistingOftopFooterImage(),Firefox 95.0,,,2022-01-17 13:07:08,2022-01-17 13:07:10,2.890s,PASSED
defaultFooterValidatins.verifyBackGroundandMaxHeightOfTopFooter(),Firefox 95.0,,,2022-01-17 13:07:10,2022-01-17 13:07:11,0.803s,PASSED
defaultFooterValidatins.verifyExistingOffooterBody(),Firefox 95.0,,,2022-01-17 13:07:11,2022-01-17 13:07:12,0.381s,PASSED
defaultFooterValidatins.verifyBackGroundandPaddingOfFooterBody(),Firefox 95.0,,,2022-01-17 13:07:12,2022-01-17 13:07:12,0.291s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyRightColomn(),Firefox 95.0,,,2022-01-17 13:07:12,2022-01-17 13:07:12,0.327s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyMiddleColomn(),Firefox 95.0,,,2022-01-17 13:07:12,2022-01-17 13:07:13,0.322s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyLeftColomn(),Firefox 95.0,,,2022-01-17 13:07:13,2022-01-17 13:07:13,0.311s,PASSED
defaultFooterValidatins.verifyRequestCatalogueLink(),Firefox 95.0,,,2022-01-17 13:07:13,2022-01-17 13:07:20,7.368s,PASSED
defaultFooterValidatins.verifycassifiedListLink(),Firefox 95.0,,,2022-01-17 13:07:20,2022-01-17 13:07:26,5.936s,PASSED
defaultFooterValidatins.verifyExistingOfRegionButtonandClickable(),Firefox 95.0,,,2022-01-17 13:07:26,2022-01-17 13:07:28,1.436s,PASSED
